# ED-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic    | dest | src  | summary                | description
c2 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
c3 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
c4 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
c5 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
c6 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
c7 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
c8 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
c9 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
ca | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
cb | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
cc | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
cd | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
ce | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
cf | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
d0 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
d1 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
d2 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
d3 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
d4 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
d5 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
d6 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
d7 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
d8 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
d9 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
da | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
db | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
