# DDCB-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic            | dest |   src  | summary                                      | description
82 | 1 | 2 | RES  | LD D, RES 0, (IX+d) |    D | (IX+d) | $(IX+d):0=0,D=$(IX+d)                        | Reset bit 0 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
83 | 1 | 2 | RES  | LD E, RES 0, (IX+d) |    E | (IX+d) | $(IX+d):0=0,E=$(IX+d)                        | Reset bit 0 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
84 | 1 | 2 | RES  | LD H, RES 0, (IX+d) |    H | (IX+d) | $(IX+d):0=0,H=$(IX+d)                        | Reset bit 0 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
85 | 1 | 2 | RES  | LD L, RES 0, (IX+d) |    L | (IX+d) | $(IX+d):0=0,L=$(IX+d)                        | Reset bit 0 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
86 | 1 | 2 | RES  | RES 0, (IX+d)       |      |        | $(IX+d):0=0                                  | Reset bit 0 of memory $(IX+{d})
87 | 1 | 2 | RES  | LD A, RES 0, (IX+d) |    A | (IX+d) | $(IX+d):0=0,A=$(IX+d)                        | Reset bit 0 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
88 | 1 | 2 | RES  | LD B, RES 1, (IX+d) |    B | (IX+d) | $(IX+d):1=0,B=$(IX+d)                        | Reset bit 1 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
89 | 1 | 2 | RES  | LD C, RES 1, (IX+d) |    C | (IX+d) | $(IX+d):1=0,C=$(IX+d)                        | Reset bit 1 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
8a | 1 | 2 | RES  | LD D, RES 1, (IX+d) |    D | (IX+d) | $(IX+d):1=0,D=$(IX+d)                        | Reset bit 1 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
8b | 1 | 2 | RES  | LD E, RES 1, (IX+d) |    E | (IX+d) | $(IX+d):1=0,E=$(IX+d)                        | Reset bit 1 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
